link_id,source,target,weight
0,N001,N003,529.7960276
1,N002,N004,327.8303942
2,N003,N004,1211.885751
3,N003,N008,874.1887569
4,N003,N019,1360.782681
8,N004,N005,805.7910389
9,N004,N007,697.5589707
11,N006,N007,783.8487285
12,N007,N008,886.7802509
15,N007,N013,162.545022
17,N008,N010,40.30555786
18,N008,N009,39.89335634
21,N009,N021,671.6956657
22,N009,N010,26.13444804
23,N009,N013,842.695481
25,N010,N024,847.1593008
26,N011,N012,371.4828218
28,N012,N015,355.1047513
29,N012,N013,281.9365503
33,N013,N015,179.5166831
34,N014,N020,286.1270421
36,N015,N023,603.1203524
37,N015,N021,470.9453584
39,N016,N020,502.7778696
40,N017,N018,231.4360116
41,N018,N022,506.2986893
42,N018,N019,323.1987728
46,N019,N022,433.0241059
47,N020,N023,1223.038309
49,N020,N032,1041.672017
53,N021,N024,576.6664377
54,N021,N025,458.4960063
55,N022,N029,714.5934545
58,N022,N030,627.8834875
59,N023,N026,173.697142
61,N023,N025,113.4880927
64,N024,N029,640.5251257
65,N024,N031,599.4514758
68,N025,N026,134.4412879
70,N026,N035,831.4789578
73,N026,N031,682.7597481
74,N027,N030,817.2727948
75,N028,N032,970.7938204
76,N029,N030,516.8499798
77,N029,N036,527.7353617
83,N030,N046,544.2956351
86,N031,N036,499.3439675
87,N031,N034,349.898521
89,N032,N035,799.1760246
91,N032,N042,456.805275
92,N033,N045,758.0468925
93,N034,N040,197.8344554
94,N034,N037,852.3776234
95,N034,N048,373.9141152
98,N035,N050,343.5316724
100,N035,N037,154.6205297
101,N036,N049,179.2389426
104,N036,N044,132.054143
105,N037,N041,174.4765315
108,N038,N039,120.5149992
109,N038,N057,283.8526475
110,N038,N041,242.4699855
111,N039,N040,93.89238793
112,N039,N055,267.8631292
115,N040,N053,255.193863
117,N041,N054,273.9343662
121,N042,N090,864.0517211
122,N042,N050,606.206775
123,N042,N043,1205.783287
126,N044,N051,272.6953285
127,N044,N049,185.557844
128,N044,N048,250.679145
130,N045,N093,883.6724655
131,N045,N096,1224.765863
132,N045,N046,698.8146052
133,N046,N047,442.9436978
136,N047,N049,355.0706679
138,N047,N072,579.2078382
141,N048,N051,147.1317514
142,N049,N068,421.6912645
145,N050,N054,401.6354296
146,N050,N094,911.1373868
150,N051,N052,146.204361
152,N051,N058,107.0891325
153,N052,N053,126.9668817
156,N053,N055,96.75110015
157,N053,N060,123.8599802
159,N054,N057,336.0824107
161,N054,N061,159.1978892
164,N055,N056,19.49451721
167,N056,N057,86.74082109
168,N056,N062,161.1397111
169,N057,N065,156.5767019
174,N058,N068,410.9898952
175,N058,N067,198.102229
176,N059,N052,121.5641527
177,N059,N060,126.3010594
179,N060,N063,51.78759151
182,N061,N065,364.784475
183,N061,N069,152.0959107
185,N062,N064,37.10291036
186,N062,N065,84.8895986
188,N063,N064,70.53125633
189,N063,N077,257.1685242
190,N064,N075,256.3845593
196,N065,N070,155.4719439
197,N066,N059,77.85915534
198,N066,N067,159.4301138
201,N067,N080,205.691294
204,N068,N072,358.8917749
205,N068,N081,200.1732562
207,N069,N082,657.1077016
208,N069,N071,85.52180971
210,N070,N074,95.89198262
211,N070,N071,300.7267675
212,N071,N083,261.6625522
215,N072,N073,61.85011606
218,N073,N081,431.4209727
220,N073,N109,688.3409522
221,N074,N075,97.27470021
223,N074,N089,222.0313016
226,N075,N076,72.52579839
227,N076,N077,50.84993375
228,N076,N098,276.0658607
231,N077,N078,90.66678948
232,N077,N100,299.9041135
234,N078,N066,243.8764206
235,N078,N079,79.9109336
237,N079,N080,106.086686
239,N080,N081,376.5714356
240,N080,N104,319.9291229
245,N081,N099,276.2343069
247,N082,N095,290.4681097
248,N082,N092,181.6007492
250,N083,N084,170.7442061
251,N084,N108,789.6510531
252,N084,N086,73.3158096
254,N084,N092,448.4668959
256,N086,N083,53.48979107
257,N086,N087,250.7618988
260,N087,N089,106.6509522
261,N087,N121,398.9970056
262,N088,N090,239.7846327
263,N088,N091,61.25633799
264,N088,N110,1461.778426
265,N088,N118,428.8968726
266,N089,N098,173.4355459
268,N089,N122,403.3354178
271,N090,N094,194.0715498
274,N092,N097,188.4061006
277,N093,N103,54.11707227
279,N093,N109,616.7030726
281,N094,N095,34.15332425
282,N094,N115,309.3693691
283,N094,N128,684.8954482
284,N094,N108,160.5296504
288,N095,N097,67.20561858
291,N096,N131,653.8867359
294,N098,N123,356.8570241
295,N098,N100,78.7254703
299,N099,N101,242.1327854
300,N099,N111,744.2819262
303,N100,N105,178.7858895
304,N100,N125,328.1026596
306,N101,N104,124.2787198
307,N101,N112,192.4144516
308,N102,N094,152.0659581
310,N104,N105,151.8223907
311,N104,N112,248.3532642
314,N105,N119,248.5838481
317,N105,N079,322.8683099
318,N107,N114,168.9012696
319,N108,N097,100.9134483
321,N108,N116,166.9895589
322,N108,N115,286.0369041
323,N109,N111,157.0279663
327,N111,N113,94.12768617
330,N112,N143,958.5333048
332,N112,N130,491.7735448
335,N113,N124,187.2749725
336,N113,N120,77.33017722
339,N115,N127,256.325596
340,N115,N118,88.30877249
341,N116,N133,537.16669
343,N116,N121,839.4898726
344,N117,N106,199.4050515
345,N117,N137,546.0038799
347,N118,N157,1541.76305
349,N118,N127,229.9168566
350,N119,N130,377.4346263
351,N119,N125,169.0245736
354,N120,N129,649.588802
355,N120,N126,167.3072341
357,N121,N122,204.8544678
359,N121,N141,701.2658334
361,N122,N123,188.1888436
362,N122,N142,712.7802492
365,N123,N125,64.82777933
366,N124,N126,154.3801195
368,N124,N136,461.410527
372,N125,N138,528.6901472
374,N126,N139,428.4125421
375,N126,N129,520.2350097
377,N127,N134,180.4119559
380,N128,N127,331.1293829
382,N128,N140,333.5585015
385,N129,N131,560.4087884
386,N130,N135,60.17887007
391,N131,N132,321.2653
392,N131,N148,533.049519
394,N133,N137,231.7860829
395,N133,N114,425.9614589
397,N134,N140,485.4674627
399,N134,N154,693.8997965
401,N135,N151,611.989478
402,N135,N138,165.3082906
403,N136,N139,119.2010766
404,N136,N143,378.9988071
407,N137,N141,273.0056778
408,N137,N146,316.7308471
409,N138,N145,333.7325649
412,N138,N144,335.5523074
413,N139,N148,1404.680219
415,N139,N152,423.5619456
418,N140,N165,737.5666533
422,N141,N142,247.8516393
423,N141,N147,152.8080656
424,N142,N144,377.3460034
426,N142,N149,119.2623135
429,N143,N152,177.5175292
430,N143,N153,183.8016344
432,N144,N145,114.0678095
435,N144,N150,295.0441548
437,N145,N151,450.748553
438,N145,N159,238.3096819
440,N146,N154,294.101906
441,N146,N167,484.2288475
442,N146,N147,203.2076219
443,N147,N167,440.3553678
444,N147,N149,254.2773929
447,N148,N166,462.0836732
452,N149,N163,409.3350386
453,N149,N150,181.1549608
455,N150,N163,455.6340547
459,N151,N158,169.1564746
460,N151,N153,171.9900465
461,N152,N156,68.64042655
462,N152,N155,54.06045364
466,N153,N158,97.75522539
467,N153,N155,166.2701277
470,N154,N169,524.9214039
471,N154,N168,933.0688307
475,N155,N156,63.20718771
476,N155,N161,185.0953431
478,N156,N171,702.7507595
480,N157,N165,720.5077602
481,N157,N175,885.1432797
484,N158,N170,437.7221669
485,N158,N161,168.4938316
488,N159,N164,248.4976664
489,N159,N162,250.7939843
490,N160,N162,48.7991683
491,N161,N156,213.3530134
492,N161,N174,663.6425211
493,N161,N172,505.9875961
497,N162,N164,290.8564648
498,N162,N170,222.300824
501,N163,N173,319.5183788
505,N164,N176,366.9267019
507,N165,N179,1287.053253
508,N165,N168,217.784696
512,N167,N169,34.36618017
516,N168,N181,1084.738989
518,N169,N173,364.0221275
521,N170,N172,178.9872778
525,N172,N176,410.0031597
526,N172,N180,696.4555028
529,N173,N178,129.2241031
530,N173,N164,597.4206716
531,N173,N177,146.7750576
535,N176,N183,670.9099709
536,N176,N177,493.9674829
542,N178,N177,110.0428106
543,N178,N182,642.7728014
549,N085,N096,528.367268
550,N096,N093,291.624907
553,N046,N120,1256.471301