edge_id,source,target,weight
1,10,17,2262
2,10,18,1352
3,10,19,822
4,10,116,883
5,17,10,2262
6,17,18,1098
7,17,20,987
8,17,29,1899
9,17,32,1439
10,17,33,1268
11,17,34,897
12,18,10,1352
13,18,17,1098
14,18,19,668
15,18,20,881
16,18,21,1258
17,19,10,822
18,19,18,668
19,19,20,836
20,19,21,761
21,19,116,746
22,19,117,782
23,20,17,987
24,20,18,881
25,20,19,836
26,20,21,974
27,20,29,2583
28,20,32,2123
29,20,34,544
30,20,35,1271
31,21,18,1258
32,21,19,761
33,21,20,974
34,21,34,1178
35,21,35,597
36,21,116,849
37,21,117,618
38,21,119,1397
39,29,17,1899
40,29,20,2583
41,29,32,710
42,29,47,938
43,29,48,680
44,29,51,881
45,32,17,1439
46,32,20,2123
47,32,29,710
48,32,33,643
49,32,48,1085
50,32,51,598
51,32,52,1057
52,33,17,1268
53,33,32,643
54,33,34,1068
55,33,36,604
56,33,51,868
57,33,52,633
58,33,55,869
59,34,17,897
60,34,20,544
61,34,21,1178
62,34,33,1068
63,34,35,857
64,34,36,626
65,34,37,1021
66,35,20,1271
67,35,21,597
68,35,34,857
69,35,36,1006
70,35,37,616
71,35,117,978
72,35,119,1183
73,35,121,1664
74,36,33,604
75,36,34,626
76,36,35,1006
77,36,37,867
78,36,52,956
79,36,55,724
80,36,56,1289
81,37,34,1021
82,37,35,616
83,37,36,867
84,37,55,935
85,37,56,824
86,37,119,1206
87,37,121,1545
88,37,125,1120
89,46,47,916
90,46,49,873
91,46,66,632
92,46,69,1661
93,47,29,938
94,47,46,916
95,47,48,771
96,47,49,660
97,47,50,986
98,48,29,680
99,48,32,1085
100,48,47,771
101,48,49,868
102,48,50,581
103,48,51,695
104,48,53,983
105,49,46,873
106,49,47,660
107,49,48,868
108,49,50,787
109,49,66,1137
110,49,69,966
111,49,70,1142
112,50,47,986
113,50,48,581
114,50,49,787
115,50,51,987
116,50,53,813
117,50,69,1095
118,50,70,795
119,50,73,973
120,51,29,881
121,51,32,598
122,51,33,868
123,51,48,695
124,51,50,987
125,51,52,664
126,51,53,802
127,51,54,1021
128,52,32,1057
129,52,33,633
130,52,36,956
131,52,51,664
132,52,53,901
133,52,54,500
134,52,55,671
135,52,57,941
136,53,48,983
137,53,50,813
138,53,51,802
139,53,52,901
140,53,54,699
141,53,70,1330
142,53,73,876
143,53,74,946
144,54,51,1021
145,54,52,500
146,54,53,699
147,54,55,836
148,54,57,709
149,54,73,967
150,54,74,494
151,54,77,1344
152,55,33,869
153,55,36,724
154,55,37,935
155,55,52,671
156,55,54,836
157,55,56,773
158,55,57,809
159,55,58,1114
160,56,36,1289
161,56,37,824
162,56,55,773
163,56,57,1050
164,56,58,738
165,56,121,1165
166,56,125,741
167,56,127,1036
168,57,52,941
169,57,54,709
170,57,55,809
171,57,56,1050
172,57,58,831
173,57,74,909
174,57,77,995
175,57,78,1198
176,58,55,1114
177,58,56,738
178,58,57,831
179,58,77,1069
180,58,78,846
181,58,125,1091
182,58,127,821
183,58,131,853
184,66,46,632
185,66,49,1137
186,66,68,1443
187,66,69,1999
188,66,71,2136
189,66,85,1685
190,66,86,2243
191,68,66,1443
192,68,69,755
193,68,71,763
194,68,85,952
195,68,86,842
196,68,89,1429
197,69,46,1661
198,69,49,966
199,69,50,1095
200,69,66,1999
201,69,68,755
202,69,70,852
203,69,71,592
204,69,72,1043
205,70,49,1142
206,70,50,795
207,70,53,1330
208,70,69,852
209,70,71,806
210,70,72,816
211,70,73,792
212,70,93,1669
213,70,94,2273
214,71,66,2136
215,71,68,763
216,71,69,592
217,71,70,806
218,71,72,815
219,71,86,1363
220,71,89,666
221,71,90,1176
222,72,69,1043
223,72,70,816
224,72,71,815
225,72,73,1033
226,72,74,1756
227,72,76,1645
228,72,89,756
229,72,90,677
230,72,93,1172
231,72,94,2157
232,73,50,973
233,73,53,876
234,73,54,967
235,73,70,792
236,73,72,1033
237,73,74,730
238,73,76,810
239,73,90,1436
240,73,93,1330
241,74,53,946
242,74,54,494
243,74,57,909
244,74,72,1756
245,74,73,730
246,74,76,599
247,74,77,980
248,74,79,771
249,74,90,1747
250,74,93,1641
251,76,72,1645
252,76,73,810
253,76,74,599
254,76,77,973
255,76,79,765
256,76,90,1636
257,76,93,1530
258,76,94,986
259,76,97,1779
260,77,54,1344
261,77,57,995
262,77,58,1069
263,77,74,980
264,77,76,973
265,77,78,976
266,77,79,539
267,77,80,937
268,78,57,1198
269,78,58,846
270,78,77,976
271,78,79,1147
272,78,80,913
273,78,127,932
274,78,131,756
275,79,74,771
276,79,76,765
277,79,77,539
278,79,78,1147
279,79,80,601
280,79,94,1154
281,79,97,1014
282,80,77,937
283,80,78,913
284,80,79,601
285,80,97,1125
286,80,131,1223
287,80,135,2727
288,85,66,1685
289,85,68,952
290,85,86,945
291,85,88,967
292,85,104,2322
293,85,105,1175
294,85,106,1433
295,86,66,2243
296,86,68,842
297,86,71,1363
298,86,85,945
299,86,88,562
300,86,89,795
301,86,91,962
302,88,85,967
303,88,86,562
304,88,89,831
305,88,91,927
306,88,105,902
307,88,106,564
308,88,109,1087
309,89,68,1429
310,89,71,666
311,89,72,756
312,89,86,795
313,89,88,831
314,89,90,1021
315,89,91,631
316,89,92,951
317,90,71,1176
318,90,72,677
319,90,73,1436
320,90,74,1747
321,90,76,1636
322,90,89,1021
323,90,91,1455
324,90,92,750
325,90,93,858
326,90,95,3905
327,91,86,962
328,91,88,927
329,91,89,631
330,91,90,1455
331,91,92,807
332,91,106,953
333,91,109,645
334,91,110,1175
335,92,89,951
336,92,90,750
337,92,91,807
338,92,93,984
339,92,95,3683
340,92,109,1186
341,92,110,570
342,93,70,1669
343,93,72,1172
344,93,73,1330
345,93,74,1641
346,93,76,1530
347,93,90,858
348,93,92,984
349,93,94,1264
350,93,95,3278
351,93,96,1030
352,94,70,2273
353,94,72,2157
354,94,76,986
355,94,79,1154
356,94,93,1264
357,94,96,497
358,94,97,1504
359,95,90,3905
360,95,92,3683
361,95,93,3278
362,95,96,2376
363,95,110,3526
364,96,93,1030
365,96,94,497
366,96,95,2376
367,96,97,1379
368,96,135,4580
369,97,76,1779
370,97,79,1014
371,97,80,1125
372,97,94,1504
373,97,96,1379
374,104,85,2322
375,104,105,1206
376,105,85,1175
377,105,88,902
378,105,104,1206
379,105,106,727
380,105,108,862
381,106,85,1433
382,106,88,564
383,106,91,953
384,106,105,727
385,106,108,603
386,106,109,793
387,106,111,921
388,108,105,862
389,108,106,603
390,108,109,896
391,108,111,705
392,109,88,1087
393,109,91,645
394,109,92,1186
395,109,106,793
396,109,108,896
397,109,110,1151
398,109,111,666
399,109,112,1083
400,110,91,1175
401,110,92,570
402,110,95,3526
403,110,109,1151
404,110,111,1418
405,110,112,709
406,111,106,921
407,111,108,705
408,111,109,666
409,111,110,1418
410,111,112,1169
411,112,109,1083
412,112,110,709
413,112,111,1169
414,116,10,883
415,116,19,746
416,116,21,849
417,116,117,555
418,116,118,986
419,117,19,782
420,117,21,618
421,117,35,978
422,117,116,555
423,117,118,905
424,117,119,1042
425,117,120,1065
426,118,116,986
427,118,117,905
428,118,119,932
429,118,120,723
430,118,123,1137
431,119,21,1397
432,119,35,1183
433,119,37,1206
434,119,117,1042
435,119,118,932
436,119,120,785
437,119,121,1214
438,119,122,1550
439,120,117,1065
440,120,118,723
441,120,119,785
442,120,121,1159
443,120,122,896
444,120,123,779
445,120,124,1061
446,121,35,1664
447,121,37,1545
448,121,56,1165
449,121,119,1214
450,121,120,1159
451,121,122,921
452,121,125,425
453,121,126,701
454,122,119,1550
455,122,120,896
456,122,121,921
457,122,123,1012
458,122,124,904
459,122,125,1086
460,122,126,551
461,122,129,951
462,123,118,1137
463,123,120,779
464,123,122,1012
465,123,124,602
466,124,120,1061
467,124,122,904
468,124,123,602
469,124,126,1272
470,124,129,743
471,125,37,1120
472,125,56,741
473,125,58,1091
474,125,121,425
475,125,122,1086
476,125,126,866
477,125,127,791
478,125,135,1984
479,126,121,701
480,126,122,551
481,126,124,1272
482,126,125,866
483,126,127,903
484,126,129,943
485,126,135,1511
486,127,56,1036
487,127,58,821
488,127,78,932
489,127,125,791
490,127,126,903
491,127,131,586
492,127,135,1746
493,129,122,951
494,129,124,743
495,129,126,943
496,129,135,1715
497,131,58,853
498,131,78,756
499,131,80,1223
500,131,127,586
501,131,135,1508
502,135,80,2727
503,135,96,4580
504,135,125,1984
505,135,126,1511
506,135,127,1746
507,135,129,1715
508,135,131,1508
