id,MESH4TH_W,weight,x,y
10,W533977094,4.417640302,14758.38657,-8539.821792
17,W533977184,4.212007788,13628.92607,-7617.083051
18,W533977191,1.23222014,14193.62674,-8078.470532
19,W533977192,2.058069818,14757.61238,-8077.544016
20,W533977193,2.95601747,14192.88207,-7616.192591
21,W533977194,16.22967995,14756.83812,-7615.26603
29,W533977274,1.540275179,12499.70222,-6694.198848
32,W533977283,10.50179402,13063.59893,-6693.380509
33,W533977284,9.005422557,13627.49568,-6692.526067
34,W533977291,38.16981308,14192.13732,-7153.914217
35,W533977292,20.34342247,14756.06378,-7152.987612
36,W533977293,11.99448331,14191.39249,-6691.635521
37,W533977294,8.953259127,14755.28936,-6690.708872
46,W533977364,1.887656394,11370.71507,-5771.169363
47,W533977371,2.058069818,11935.17905,-6232.702338
48,W533977372,1.540275179,12499.04611,-6231.920065
49,W533977373,9.579076172,11934.55248,-5770.42316
50,W533977374,7.122447514,12498.38994,-5769.64085
51,W533977381,32.64627748,13062.91322,-6231.101687
52,W533977382,17.87844554,13626.78038,-6230.247204
53,W533977383,12.21904924,13062.22745,-5768.822433
54,W533977384,9.824989332,13626.06501,-5767.967909
55,W533977391,40.81393303,14190.64759,-6229.356616
56,W533977392,15.13910316,14754.51486,-6228.429922
57,W533977393,19.62749201,14189.90262,-5767.077278
58,W533977394,23.24751005,14753.74028,-5766.15054
66,W533977462,6.721829211,11370.11804,-5308.890011
68,W533977464,1.619594771,11369.52095,-4846.610225
69,W533977471,2.877624761,11933.92585,-5308.143772
70,W533977472,5.614488634,12497.73371,-5307.361424
71,W533977473,2.982234923,11933.29916,-4845.863951
72,W533977474,1.428851016,12497.07741,-4845.081566
73,W533977481,33.65349234,13061.54161,-5306.542968
74,W533977482,17.11144276,13625.34957,-5305.688403
76,W533977484,2.274363773,13624.63405,-4843.408465
77,W533977491,26.53626936,14189.15757,-5304.79773
78,W533977492,22.83807444,14752.96563,-5303.870947
79,W533977493,8.015985297,14188.41244,-4842.517749
80,W533977494,14.40876911,14752.19089,-4841.590923
85,W533977561,1.54682954,10805.17525,-4385.040428
86,W533977562,5.933170218,11368.92381,-4384.33023
88,W533977564,2.333353035,11368.3266,-3922.04969
89,W533977571,10.78028154,11932.6724,-4383.583919
90,W533977572,1.323981215,12496.42104,-4382.801497
91,W533977573,17.25123042,11932.04558,-3921.303344
92,W533977574,18.63872354,12495.7646,-3920.520885
93,W533977581,1.133904706,13060.16972,-4381.982963
94,W533977582,8.702148998,13623.91846,-4381.128316
95,W533977583,13.65390924,13059.48368,-3919.702311
96,W533977584,4.532235594,13623.2028,-3918.847624
97,W533977591,1.409187928,14187.66724,-4380.237558
104,W533977654,1.468177193,10239.81264,-2998.872463
105,W533977661,1.297763775,10804.04001,-3460.479318
106,W533977662,9.953526792,11367.72933,-3459.769052
108,W533977664,10.21169673,11367.132,-2997.48798
109,W533977671,30.56946355,11931.4187,-3459.02267
110,W533977672,35.17896335,12495.1081,-3458.240173
111,W533977673,4.388884141,11930.79175,-2996.741563
112,W533977674,11.71920009,12494.45154,-2995.959029
116,W534070101,9.5693692,15321.59808,-8076.581402
117,W534070103,5.171391982,15320.79422,-7614.303369
118,W534070104,12.91047077,15884.75039,-7613.304609
119,W534070201,6.06933965,15319.99029,-7152.024905
120,W534070202,16.91265622,15883.91686,-7151.026097
121,W534070203,2.136722164,15319.18627,-6689.74612
122,W534070204,6.115220184,15883.08325,-6688.747263
123,W534070211,11.12755116,16447.84349,-7149.991186
124,W534070213,15.9569512,16446.98028,-6687.712303
125,W534070301,2.883919481,15318.38218,-6227.467124
126,W534070302,1.789340957,15882.24955,-6226.46822
127,W534070303,5.112402723,15317.578,-5765.187695
129,W534070311,1.206002691,16446.11699,-6225.43321
131,W534070401,6.855863138,15316.77374,-5302.908057
135,W534070411,7.993856787,16444.39013,-5300.873949