condition,routeID,hubs,nodes,routeLength,objVal,calcTime,feeder_hub,feeder_hub_count,select_feeder_hub,flow_feeder,total_feeder_distance,depot_capacities,max_capacities,avg_capacities
10000,['17_104_10000_F'],"[('17', '104')]","['34', '36', '72', '73', '74', '106', '105', '104', '17', '52', '54', '55', '89', '91']",9948,27.702111103000007,0.570915937423706,"[34, 36, 72, 73, 74, 106, 105, 104, 17, 52, 54, 55, 89, 91]",14,"[(20, 34), (21, 34), (29, 34), (35, 34), (37, 34), (50, 34), (69, 34), (119, 34), (121, 34), (125, 34), (127, 34), (131, 34), (48, 36), (57, 72), (66, 72), (77, 72), (86, 72), (97, 72), (79, 73), (88, 73), (90, 73), (96, 73), (33, 74), (47, 74), (76, 74), (93, 105), (94, 105), (109, 104), (10, 17), (18, 17), (19, 17), (53, 17), (70, 17), (71, 17), (116, 17), (117, 17), (118, 17), (120, 17), (122, 17), (123, 17), (124, 17), (126, 17), (129, 17), (46, 52), (78, 52), (80, 52), (92, 52), (135, 52), (51, 54), (68, 54), (95, 54), (108, 54), (111, 54), (32, 55), (49, 89), (85, 89), (110, 89), (112, 89), (56, 91), (58, 91)]",551.7863097889999,15282.481391487998,"{34: 82.24802621100001, 36: 1.540275179, 72: 59.140738807999995, 73: 16.173578380000002, 74: 13.273902624000002, 105: 9.644193129000003, 104: 29.929928302999993, 17: 108.227424274, 52: 64.714706643, 54: 61.594245289999975, 55: 10.361376116999999, 89: 57.094906578999996, 91: 37.843008252000004}",108.227424274,42.445100753000006
11000,['17_104_10000_F'],"[('17', '104')]","['34', '36', '72', '73', '74', '106', '105', '104', '17', '52', '54', '55', '89', '91']",9948,27.702111103000007,0.6635339260101318,"[34, 36, 72, 73, 74, 106, 105, 104, 17, 52, 54, 55, 89, 91]",14,"[(20, 34), (21, 34), (29, 34), (35, 34), (37, 34), (50, 34), (69, 34), (119, 34), (121, 34), (125, 34), (127, 34), (131, 34), (48, 36), (57, 72), (66, 72), (77, 72), (86, 72), (97, 72), (79, 73), (88, 73), (90, 73), (96, 73), (33, 74), (47, 74), (76, 74), (93, 105), (94, 105), (109, 104), (10, 17), (18, 17), (19, 17), (53, 17), (70, 17), (71, 17), (116, 17), (117, 17), (118, 17), (120, 17), (122, 17), (123, 17), (124, 17), (126, 17), (129, 17), (46, 52), (78, 52), (80, 52), (92, 52), (135, 52), (51, 54), (68, 54), (95, 54), (108, 54), (111, 54), (32, 55), (49, 89), (85, 89), (110, 89), (112, 89), (56, 91), (58, 91)]",551.7863097889999,15282.481391487998,"{34: 82.24802621100001, 36: 1.540275179, 72: 59.140738807999995, 73: 16.173578380000002, 74: 13.273902624000002, 105: 9.644193129000003, 104: 29.929928302999993, 17: 108.227424274, 52: 64.714706643, 54: 61.594245289999975, 55: 10.361376116999999, 89: 57.094906578999996, 91: 37.843008252000004}",108.227424274,42.445100753000006
12000,['17_104_10000_F'],"[('17', '104')]","['34', '36', '72', '73', '74', '106', '105', '104', '17', '52', '54', '55', '89', '91']",9948,27.702111103000007,0.5228137969970703,"[34, 36, 72, 73, 74, 106, 105, 104, 17, 52, 54, 55, 89, 91]",14,"[(20, 34), (21, 34), (29, 34), (35, 34), (37, 34), (50, 34), (69, 34), (119, 34), (121, 34), (125, 34), (127, 34), (131, 34), (48, 36), (57, 72), (66, 72), (77, 72), (86, 72), (97, 72), (79, 73), (88, 73), (90, 73), (96, 73), (33, 74), (47, 74), (76, 74), (93, 105), (94, 105), (109, 104), (10, 17), (18, 17), (19, 17), (53, 17), (70, 17), (71, 17), (116, 17), (117, 17), (118, 17), (120, 17), (122, 17), (123, 17), (124, 17), (126, 17), (129, 17), (46, 52), (78, 52), (80, 52), (92, 52), (135, 52), (51, 54), (68, 54), (95, 54), (108, 54), (111, 54), (32, 55), (49, 89), (85, 89), (110, 89), (112, 89), (56, 91), (58, 91)]",551.7863097889999,15282.481391487998,"{34: 82.24802621100001, 36: 1.540275179, 72: 59.140738807999995, 73: 16.173578380000002, 74: 13.273902624000002, 105: 9.644193129000003, 104: 29.929928302999993, 17: 108.227424274, 52: 64.714706643, 54: 61.594245289999975, 55: 10.361376116999999, 89: 57.094906578999996, 91: 37.843008252000004}",108.227424274,42.445100753000006
13000,['17_104_12500_F'],"[('17', '104')]","['34', '36', '72', '73', '74', '106', '105', '109', '110', '104', '17', '52', '54', '55', '89', '91', '92']",12316,53.10433167400003,0.46698904037475586,"[34, 36, 72, 73, 74, 106, 105, 109, 110, 104, 17, 52, 54, 55, 89, 91, 92]",17,"[(18, 34), (19, 34), (20, 34), (21, 34), (29, 34), (35, 34), (37, 34), (116, 34), (117, 34), (118, 34), (119, 34), (120, 34), (121, 34), (122, 34), (125, 34), (126, 34), (127, 34), (50, 36), (56, 72), (57, 72), (112, 72), (131, 72), (32, 73), (46, 73), (51, 73), (78, 73), (58, 74), (88, 74), (90, 74), (93, 74), (96, 74), (97, 74), (53, 105), (76, 105), (48, 109), (71, 109), (108, 109), (33, 110), (49, 110), (69, 104), (111, 104), (10, 17), (94, 17), (123, 17), (124, 17), (129, 17), (86, 52), (135, 52), (70, 54), (79, 54), (85, 54), (95, 54), (47, 55), (66, 89), (77, 91), (68, 92), (80, 92)]",469.03181068999993,25719.034879701005,"{34: 120.86303920500004, 36: 6.962563703999997, 72: 52.830030195999996, 73: 66.74617336399999, 74: 33.564474622000006, 105: 14.269575679999999, 109: 14.734206826999998, 110: 18.296707868, 104: 7.170578617, 17: 41.026573211000006, 52: 13.703189669000002, 54: 28.575398611, 55: 2.0580698179999994, 89: 6.59392216, 91: 25.960687643000004, 92: 15.676619494999995}",120.86303920500004,29.314488168125
14000,['17_104_12500_F'],"[('17', '104')]","['34', '36', '72', '73', '74', '106', '105', '109', '110', '104', '17', '52', '54', '55', '89', '91', '92']",12316,53.10433167400003,0.4765970706939697,"[34, 36, 72, 73, 74, 106, 105, 109, 110, 104, 17, 52, 54, 55, 89, 91, 92]",17,"[(18, 34), (19, 34), (20, 34), (21, 34), (29, 34), (35, 34), (37, 34), (116, 34), (117, 34), (118, 34), (119, 34), (120, 34), (121, 34), (122, 34), (125, 34), (126, 34), (127, 34), (50, 36), (56, 72), (57, 72), (112, 72), (131, 72), (32, 73), (46, 73), (51, 73), (78, 73), (58, 74), (88, 74), (90, 74), (93, 74), (96, 74), (97, 74), (53, 105), (76, 105), (48, 109), (71, 109), (108, 109), (33, 110), (49, 110), (69, 104), (111, 104), (10, 17), (94, 17), (123, 17), (124, 17), (129, 17), (86, 52), (135, 52), (70, 54), (79, 54), (85, 54), (95, 54), (47, 55), (66, 89), (77, 91), (68, 92), (80, 92)]",469.03181068999993,25719.034879701005,"{34: 120.86303920500004, 36: 6.962563703999997, 72: 52.830030195999996, 73: 66.74617336399999, 74: 33.564474622000006, 105: 14.269575679999999, 109: 14.734206826999998, 110: 18.296707868, 104: 7.170578617, 17: 41.026573211000006, 52: 13.703189669000002, 54: 28.575398611, 55: 2.0580698179999994, 89: 6.59392216, 91: 25.960687643000004, 92: 15.676619494999995}",120.86303920500004,29.314488168125
15000,['104_17_15000_F'],"[('104', '17')]","['89', '34', '36', '72', '73', '74', '106', '105', '109', '110', '104', '17', '51', '52', '53', '54', '55', '57', '91', '92']",14975,77.48692322000002,0.589879035949707,"[89, 34, 36, 72, 73, 74, 106, 105, 109, 110, 104, 17, 51, 52, 53, 54, 55, 57, 91, 92]",20,"[(37, 89), (58, 89), (10, 34), (117, 34), (123, 34), (124, 34), (129, 34), (135, 34), (119, 36), (120, 36), (127, 36), (108, 72), (121, 72), (29, 73), (35, 73), (118, 73), (126, 73), (20, 74), (21, 74), (90, 105), (93, 105), (112, 105), (49, 110), (94, 110), (71, 104), (116, 17), (46, 51), (70, 51), (76, 51), (78, 51), (79, 51), (66, 52), (19, 53), (33, 53), (122, 53), (125, 53), (77, 54), (80, 54), (18, 55), (32, 55), (50, 55), (56, 55), (68, 55), (69, 55), (97, 55), (131, 55), (85, 91), (86, 91), (95, 91), (111, 91), (47, 92), (48, 92), (88, 92), (96, 92)]",405.84883017899995,27014.603957625004,"{89: 31.817048032000002, 34: 45.489672982, 36: 27.806607734000004, 72: 12.348418888999996, 73: 36.038352814, 74: 18.897906561, 105: 14.177086011999993, 110: 17.865527258, 104: 2.982234923000001, 17: 9.569369200000004, 51: 40.249706915999994, 52: 6.59392216, 53: 19.998678516000005, 54: 40.049689128, 55: 46.201719620999995, 91: 25.330932567999998, 92: 10.431956865}",46.201719620999995,23.873460598764705
16000,['104_17_15000_F'],"[('104', '17')]","['89', '34', '36', '72', '73', '74', '106', '105', '109', '110', '104', '17', '51', '52', '53', '54', '55', '57', '91', '92']",14975,77.48692322000002,0.9486031532287598,"[89, 34, 36, 72, 73, 74, 106, 105, 109, 110, 104, 17, 51, 52, 53, 54, 55, 57, 91, 92]",20,"[(37, 89), (58, 89), (10, 34), (117, 34), (123, 34), (124, 34), (129, 34), (135, 34), (119, 36), (120, 36), (127, 36), (108, 72), (121, 72), (29, 73), (35, 73), (118, 73), (126, 73), (20, 74), (21, 74), (90, 105), (93, 105), (112, 105), (49, 110), (94, 110), (71, 104), (116, 17), (46, 51), (70, 51), (76, 51), (78, 51), (79, 51), (66, 52), (19, 53), (33, 53), (122, 53), (125, 53), (77, 54), (80, 54), (18, 55), (32, 55), (50, 55), (56, 55), (68, 55), (69, 55), (97, 55), (131, 55), (85, 91), (86, 91), (95, 91), (111, 91), (47, 92), (48, 92), (88, 92), (96, 92)]",405.84883017899995,27014.603957625004,"{89: 31.817048032000002, 34: 45.489672982, 36: 27.806607734000004, 72: 12.348418888999996, 73: 36.038352814, 74: 18.897906561, 105: 14.177086011999993, 110: 17.865527258, 104: 2.982234923000001, 17: 9.569369200000004, 51: 40.249706915999994, 52: 6.59392216, 53: 19.998678516000005, 54: 40.049689128, 55: 46.201719620999995, 91: 25.330932567999998, 92: 10.431956865}",46.201719620999995,23.873460598764705
17000,['104_17_15000_F'],"[('104', '17')]","['89', '34', '36', '72', '73', '74', '106', '105', '109', '110', '104', '17', '51', '52', '53', '54', '55', '57', '91', '92']",14975,77.48692322000002,0.9484000205993652,"[89, 34, 36, 72, 73, 74, 106, 105, 109, 110, 104, 17, 51, 52, 53, 54, 55, 57, 91, 92]",20,"[(37, 89), (58, 89), (10, 34), (117, 34), (123, 34), (124, 34), (129, 34), (135, 34), (119, 36), (120, 36), (127, 36), (108, 72), (121, 72), (29, 73), (35, 73), (118, 73), (126, 73), (20, 74), (21, 74), (90, 105), (93, 105), (112, 105), (49, 110), (94, 110), (71, 104), (116, 17), (46, 51), (70, 51), (76, 51), (78, 51), (79, 51), (66, 52), (19, 53), (33, 53), (122, 53), (125, 53), (77, 54), (80, 54), (18, 55), (32, 55), (50, 55), (56, 55), (68, 55), (69, 55), (97, 55), (131, 55), (85, 91), (86, 91), (95, 91), (111, 91), (47, 92), (48, 92), (88, 92), (96, 92)]",405.84883017899995,27014.603957625004,"{89: 31.817048032000002, 34: 45.489672982, 36: 27.806607734000004, 72: 12.348418888999996, 73: 36.038352814, 74: 18.897906561, 105: 14.177086011999993, 110: 17.865527258, 104: 2.982234923000001, 17: 9.569369200000004, 51: 40.249706915999994, 52: 6.59392216, 53: 19.998678516000005, 54: 40.049689128, 55: 46.201719620999995, 91: 25.330932567999998, 92: 10.431956865}",46.201719620999995,23.873460598764705
18000,['17_104_17500_F'],"[('17', '104')]","['17', '32', '33', '34', '36', '51', '52', '55', '56', '58', '72', '73', '74', '77', '78', '89', '91', '92', '104', '105', '106', '109', '110']",17420,110.17596302999998,0.8056199550628662,"[17, 32, 33, 34, 36, 51, 52, 55, 56, 58, 72, 73, 74, 77, 78, 89, 91, 92, 104, 105, 106, 109, 110]",23,"[(10, 17), (68, 17), (69, 17), (131, 17), (20, 32), (117, 32), (129, 32), (37, 33), (66, 33), (85, 33), (126, 33), (71, 34), (76, 34), (119, 34), (124, 34), (121, 36), (19, 51), (47, 51), (88, 51), (116, 51), (123, 51), (80, 52), (48, 55), (93, 55), (97, 56), (18, 58), (50, 58), (35, 72), (46, 73), (96, 73), (111, 73), (125, 73), (127, 73), (49, 74), (86, 74), (108, 74), (112, 74), (135, 74), (21, 77), (70, 77), (118, 77), (120, 77), (54, 78), (57, 78), (90, 78), (122, 78), (79, 89), (94, 91), (53, 105), (29, 106), (95, 109)]",341.2531181239999,30355.069061337,"{17: 15.674792687, 32: 9.333412142999999, 33: 18.883351784000002, 34: 27.186959264000002, 36: 2.1367221640000005, 51: 27.050482748000004, 52: 14.089001484999995, 55: 2.674179885, 56: 1.4091879279999995, 58: 8.194783843999996, 72: 20.022103246999997, 73: 18.741144810999998, 74: 44.989325319999985, 77: 50.739969466000005, 78: 36.539938350999996, 89: 8.015985297000002, 91: 8.510288423000002, 105: 11.995211906999998, 106: 1.540275179, 109: 13.526002190999998}",50.739969466000005,17.0626559062
19000,['17_104_17500_F'],"[('17', '104')]","['17', '32', '33', '34', '36', '51', '52', '55', '56', '58', '72', '73', '74', '77', '78', '89', '91', '92', '104', '105', '106', '109', '110']",17420,110.17596302999998,0.7500791549682617,"[17, 32, 33, 34, 36, 51, 52, 55, 56, 58, 72, 73, 74, 77, 78, 89, 91, 92, 104, 105, 106, 109, 110]",23,"[(10, 17), (68, 17), (69, 17), (131, 17), (20, 32), (117, 32), (129, 32), (37, 33), (66, 33), (85, 33), (126, 33), (71, 34), (76, 34), (119, 34), (124, 34), (121, 36), (19, 51), (47, 51), (88, 51), (116, 51), (123, 51), (80, 52), (48, 55), (93, 55), (97, 56), (18, 58), (50, 58), (35, 72), (46, 73), (96, 73), (111, 73), (125, 73), (127, 73), (49, 74), (86, 74), (108, 74), (112, 74), (135, 74), (21, 77), (70, 77), (118, 77), (120, 77), (54, 78), (57, 78), (90, 78), (122, 78), (79, 89), (94, 91), (53, 105), (29, 106), (95, 109)]",341.2531181239999,30355.069061337,"{17: 15.674792687, 32: 9.333412142999999, 33: 18.883351784000002, 34: 27.186959264000002, 36: 2.1367221640000005, 51: 27.050482748000004, 52: 14.089001484999995, 55: 2.674179885, 56: 1.4091879279999995, 58: 8.194783843999996, 72: 20.022103246999997, 73: 18.741144810999998, 74: 44.989325319999985, 77: 50.739969466000005, 78: 36.539938350999996, 89: 8.015985297000002, 91: 8.510288423000002, 105: 11.995211906999998, 106: 1.540275179, 109: 13.526002190999998}",50.739969466000005,17.0626559062
20000,['17_104_20000_F'],"[('17', '104')]","['17', '32', '33', '34', '36', '51', '52', '54', '55', '56', '57', '58', '72', '73', '74', '77', '78', '89', '91', '92', '104', '105', '106', '108', '109', '110', '112']",19985,142.99756834900012,0.7666370868682861,"[17, 32, 33, 34, 36, 51, 52, 54, 55, 56, 57, 58, 72, 73, 74, 77, 78, 89, 91, 92, 104, 105, 106, 108, 109, 110, 112]",27,"[(10, 17), (124, 17), (116, 32), (127, 32), (129, 32), (118, 34), (120, 34), (135, 34), (18, 36), (117, 51), (35, 52), (21, 54), (29, 54), (37, 54), (46, 54), (95, 54), (96, 54), (50, 55), (68, 55), (69, 55), (121, 55), (49, 56), (70, 56), (123, 57), (122, 58), (126, 58), (66, 72), (76, 72), (79, 72), (80, 72), (85, 72), (86, 72), (88, 72), (90, 72), (53, 73), (131, 73), (48, 74), (111, 74), (125, 74), (19, 77), (20, 77), (94, 77), (97, 77), (119, 77), (71, 91), (93, 106), (47, 108)]",290.221484356,13717.630057025997,"{17: 20.278661220000004, 32: 15.887774614000003, 34: 37.11349500400001, 36: 1.23222014, 51: 5.171391981999999, 52: 20.022103246999997, 54: 46.349340815, 55: 13.500575114999998, 56: 14.841820418, 57: 11.031620876999998, 58: 7.904561141000001, 72: 42.078629961999994, 73: 18.851075044999998, 74: 8.78110204, 77: 21.002903289000002, 91: 2.982234923000001, 106: 1.1339047060000003, 108: 2.0580698179999994}",46.349340815,16.123415797555555
21000,['17_104_20000_F'],"[('17', '104')]","['17', '32', '33', '34', '36', '51', '52', '54', '55', '56', '57', '58', '72', '73', '74', '77', '78', '89', '91', '92', '104', '105', '106', '108', '109', '110', '112']",19985,142.99756834900012,0.7798850536346436,"[17, 32, 33, 34, 36, 51, 52, 54, 55, 56, 57, 58, 72, 73, 74, 77, 78, 89, 91, 92, 104, 105, 106, 108, 109, 110, 112]",27,"[(10, 17), (124, 17), (116, 32), (127, 32), (129, 32), (118, 34), (120, 34), (135, 34), (18, 36), (117, 51), (35, 52), (21, 54), (29, 54), (37, 54), (46, 54), (95, 54), (96, 54), (50, 55), (68, 55), (69, 55), (121, 55), (49, 56), (70, 56), (123, 57), (122, 58), (126, 58), (66, 72), (76, 72), (79, 72), (80, 72), (85, 72), (86, 72), (88, 72), (90, 72), (53, 73), (131, 73), (48, 74), (111, 74), (125, 74), (19, 77), (20, 77), (94, 77), (97, 77), (119, 77), (71, 91), (93, 106), (47, 108)]",290.221484356,13717.630057025997,"{17: 20.278661220000004, 32: 15.887774614000003, 34: 37.11349500400001, 36: 1.23222014, 51: 5.171391981999999, 52: 20.022103246999997, 54: 46.349340815, 55: 13.500575114999998, 56: 14.841820418, 57: 11.031620876999998, 58: 7.904561141000001, 72: 42.078629961999994, 73: 18.851075044999998, 74: 8.78110204, 77: 21.002903289000002, 91: 2.982234923000001, 106: 1.1339047060000003, 108: 2.0580698179999994}",46.349340815,16.123415797555555
22000,['17_104_20000_F'],"[('17', '104')]","['17', '32', '33', '34', '36', '51', '52', '54', '55', '56', '57', '58', '72', '73', '74', '77', '78', '89', '91', '92', '104', '105', '106', '108', '109', '110', '112']",19985,142.99756834900012,0.8828461170196533,"[17, 32, 33, 34, 36, 51, 52, 54, 55, 56, 57, 58, 72, 73, 74, 77, 78, 89, 91, 92, 104, 105, 106, 108, 109, 110, 112]",27,"[(10, 17), (124, 17), (116, 32), (127, 32), (129, 32), (118, 34), (120, 34), (135, 34), (18, 36), (117, 51), (35, 52), (21, 54), (29, 54), (37, 54), (46, 54), (95, 54), (96, 54), (50, 55), (68, 55), (69, 55), (121, 55), (49, 56), (70, 56), (123, 57), (122, 58), (126, 58), (66, 72), (76, 72), (79, 72), (80, 72), (85, 72), (86, 72), (88, 72), (90, 72), (53, 73), (131, 73), (48, 74), (111, 74), (125, 74), (19, 77), (20, 77), (94, 77), (97, 77), (119, 77), (71, 91), (93, 106), (47, 108)]",290.221484356,13717.630057025997,"{17: 20.278661220000004, 32: 15.887774614000003, 34: 37.11349500400001, 36: 1.23222014, 51: 5.171391981999999, 52: 20.022103246999997, 54: 46.349340815, 55: 13.500575114999998, 56: 14.841820418, 57: 11.031620876999998, 58: 7.904561141000001, 72: 42.078629961999994, 73: 18.851075044999998, 74: 8.78110204, 77: 21.002903289000002, 91: 2.982234923000001, 106: 1.1339047060000003, 108: 2.0580698179999994}",46.349340815,16.123415797555555
23000,"['17_104_20000_F', '86_104_spath']","[('17', '104'), ('86', '104')]","['17', '32', '33', '34', '36', '51', '52', '54', '55', '56', '57', '58', '72', '73', '74', '77', '78', '89', '91', '92', '104', '105', '106', '108', '109', '110', '112', '86', '88', '105', '104']",22655,148.65536084100032,1.091770887374878,"[17, 32, 33, 34, 36, 51, 52, 54, 55, 56, 57, 58, 72, 73, 74, 77, 78, 89, 91, 92, 104, 105, 106, 108, 109, 110, 112, 86, 88]",29,"[(10, 17), (20, 17), (97, 17), (126, 17), (35, 32), (122, 32), (129, 32), (50, 33), (53, 33), (85, 33), (94, 33), (127, 33), (96, 34), (37, 36), (21, 52), (116, 52), (117, 52), (118, 52), (123, 52), (131, 52), (19, 54), (80, 55), (121, 55), (79, 57), (93, 57), (119, 58), (124, 58), (95, 73), (18, 74), (111, 74), (135, 74), (66, 77), (68, 77), (69, 77), (70, 77), (120, 77), (125, 77), (49, 78), (29, 89), (46, 89), (90, 89), (47, 106), (48, 106), (76, 108), (71, 109)]",281.986937864,14453.117862342,"{17: 10.572186656999998, 32: 27.343326121999997, 33: 34.127296297, 34: 4.500258832999999, 36: 8.953259127, 52: 61.25676771900001, 54: 2.0580698179999994, 55: 16.225723648999995, 57: 9.149890003000003, 58: 21.930360568000005, 73: 13.526002190999998, 74: 13.391123732, 77: 35.99057783200001, 78: 9.355238835, 89: 4.751912788, 106: 3.5983449969999994, 108: 2.2743637730000006, 109: 2.982234923000001}",61.25676771900001,15.665940992444446
