totalLength,routeID,hubs,nodes,routeLength,objVal,calcTime,feeder_hub,feeder_hub_count,select_feeder_hub,total_feeder_distance,depot_capacities,max_capacities,avg_capacities
9928,<built-in function id>,"[('121', '17')]","['121', '34', '36', '73', '74', '17', '51', '52', '53', '54', '55', '56', '57', '58', '125']",9928,44.260956641000014,1.7030410766601562,"[121, 34, 73, 74, 17, 51, 52, 53, 54, 55, 56, 57, 58, 125]",14,"[(119, 121), (124, 121), (32, 34), (77, 34), (93, 34), (21, 73), (47, 73), (88, 73), (104, 73), (10, 74), (33, 74), (48, 74), (94, 74), (95, 74), (110, 74), (111, 74), (112, 74), (35, 17), (69, 17), (97, 17), (92, 51), (109, 51), (68, 52), (120, 52), (122, 52), (127, 52), (131, 52), (90, 53), (105, 53), (70, 54), (72, 54), (86, 54), (106, 54), (108, 54), (117, 54), (135, 54), (20, 55), (71, 55), (76, 55), (78, 55), (79, 55), (96, 55), (129, 55), (29, 56), (50, 56), (66, 56), (89, 56), (91, 56), (116, 56), (85, 57), (123, 57), (18, 58), (19, 58), (46, 58), (49, 58), (126, 58), (37, 125), (80, 125), (118, 125)]",189287,"{121: 21.930360568000005, 34: 37.45596846600001, 73: 21.801489137000004, 74: 87.48542071199999, 17: 24.244962411999996, 51: 48.28086098599999, 52: 36.295969416000005, 53: 2.62174499, 54: 45.923261006, 55: 44.519982856, 56: 52.53775839, 57: 12.578450416999999, 58: 16.322526144, 125: 35.728894043}",87.48542071199999,34.837689253071424
9928,<built-in function id>,"[('121', '17')]","['121', '34', '36', '73', '74', '17', '51', '52', '53', '54', '55', '56', '57', '58', '125']",9928,44.260956641000014,2.2223377227783203,"[121, 34, 73, 74, 17, 51, 52, 53, 54, 55, 56, 57, 58, 125]",14,"[(119, 121), (124, 121), (32, 34), (77, 34), (93, 34), (21, 73), (47, 73), (88, 73), (104, 73), (10, 74), (33, 74), (48, 74), (94, 74), (95, 74), (110, 74), (111, 74), (112, 74), (35, 17), (69, 17), (97, 17), (92, 51), (109, 51), (68, 52), (120, 52), (122, 52), (127, 52), (131, 52), (90, 53), (105, 53), (70, 54), (72, 54), (86, 54), (106, 54), (108, 54), (117, 54), (135, 54), (20, 55), (71, 55), (76, 55), (78, 55), (79, 55), (96, 55), (129, 55), (29, 56), (50, 56), (66, 56), (89, 56), (91, 56), (116, 56), (85, 57), (123, 57), (18, 58), (19, 58), (46, 58), (49, 58), (126, 58), (37, 125), (80, 125), (118, 125)]",189287,"{121: 21.930360568000005, 34: 37.45596846600001, 73: 21.801489137000004, 74: 87.48542071199999, 17: 24.244962411999996, 51: 48.28086098599999, 52: 36.295969416000005, 53: 2.62174499, 54: 45.923261006, 55: 44.519982856, 56: 52.53775839, 57: 12.578450416999999, 58: 16.322526144, 125: 35.728894043}",87.48542071199999,34.837689253071424
9928,<built-in function id>,"[('121', '17')]","['121', '34', '36', '73', '74', '17', '51', '52', '53', '54', '55', '56', '57', '58', '125']",9928,44.260956641000014,2.5344505310058594,"[121, 34, 73, 74, 17, 51, 52, 53, 54, 55, 56, 57, 58, 125]",14,"[(119, 121), (124, 121), (32, 34), (77, 34), (93, 34), (21, 73), (47, 73), (88, 73), (104, 73), (10, 74), (33, 74), (48, 74), (94, 74), (95, 74), (110, 74), (111, 74), (112, 74), (35, 17), (69, 17), (97, 17), (92, 51), (109, 51), (68, 52), (120, 52), (122, 52), (127, 52), (131, 52), (90, 53), (105, 53), (70, 54), (72, 54), (86, 54), (106, 54), (108, 54), (117, 54), (135, 54), (20, 55), (71, 55), (76, 55), (78, 55), (79, 55), (96, 55), (129, 55), (29, 56), (50, 56), (66, 56), (89, 56), (91, 56), (116, 56), (85, 57), (123, 57), (18, 58), (19, 58), (46, 58), (49, 58), (126, 58), (37, 125), (80, 125), (118, 125)]",189287,"{121: 21.930360568000005, 34: 37.45596846600001, 73: 21.801489137000004, 74: 87.48542071199999, 17: 24.244962411999996, 51: 48.28086098599999, 52: 36.295969416000005, 53: 2.62174499, 54: 45.923261006, 55: 44.519982856, 56: 52.53775839, 57: 12.578450416999999, 58: 16.322526144, 125: 35.728894043}",87.48542071199999,34.837689253071424
12446,<built-in function id>,"[('17', '86')]","['34', '36', '73', '74', '109', '110', '112', '17', '51', '52', '54', '55', '86', '89', '90', '91', '92']",12446,66.93897800000002,2.875692367553711,"[34, 36, 73, 74, 109, 110, 112, 17, 51, 52, 54, 55, 86, 89, 90, 91]",16,"[(53, 34), (96, 34), (18, 36), (20, 36), (21, 36), (35, 36), (80, 36), (135, 36), (29, 73), (49, 73), (56, 73), (70, 73), (106, 73), (120, 73), (131, 73), (78, 74), (97, 74), (108, 74), (117, 74), (125, 74), (126, 74), (79, 109), (69, 110), (104, 110), (105, 110), (71, 112), (32, 17), (50, 17), (57, 17), (93, 17), (118, 17), (121, 17), (124, 17), (46, 51), (47, 51), (66, 51), (88, 51), (119, 51), (19, 52), (76, 52), (122, 52), (10, 54), (58, 54), (72, 54), (123, 54), (127, 54), (129, 54), (33, 55), (116, 55), (85, 86), (94, 86), (37, 89), (48, 89), (68, 89), (77, 90), (95, 90), (111, 91)]",162919,"{34: 16.49547074, 36: 62.043227644999995, 73: 64.763593474, 74: 44.05065694199999, 109: 8.015985297000002, 110: 5.579612205000002, 112: 2.982234923000001, 17: 68.41796866, 51: 18.942341057, 52: 10.447653775000001, 54: 46.060306514, 55: 18.510838233000005, 86: 10.057117963000003, 89: 12.081152316, 90: 39.486689834, 91: 4.356907379999999}",68.41796866,27.018234809875
12446,<built-in function id>,"[('17', '86')]","['34', '36', '73', '74', '109', '110', '112', '17', '51', '52', '54', '55', '86', '89', '90', '91', '92']",12446,66.93897800000002,3.1397743225097656,"[34, 36, 73, 74, 109, 110, 112, 17, 51, 52, 54, 55, 86, 89, 90, 91]",16,"[(53, 34), (96, 34), (18, 36), (20, 36), (21, 36), (35, 36), (80, 36), (135, 36), (29, 73), (49, 73), (56, 73), (70, 73), (106, 73), (120, 73), (131, 73), (78, 74), (97, 74), (108, 74), (117, 74), (125, 74), (126, 74), (79, 109), (69, 110), (104, 110), (105, 110), (71, 112), (32, 17), (50, 17), (57, 17), (93, 17), (118, 17), (121, 17), (124, 17), (46, 51), (47, 51), (66, 51), (88, 51), (119, 51), (19, 52), (76, 52), (122, 52), (10, 54), (58, 54), (72, 54), (123, 54), (127, 54), (129, 54), (33, 55), (116, 55), (85, 86), (94, 86), (37, 89), (48, 89), (68, 89), (77, 90), (95, 90), (111, 91)]",162919,"{34: 16.49547074, 36: 62.043227644999995, 73: 64.763593474, 74: 44.05065694199999, 109: 8.015985297000002, 110: 5.579612205000002, 112: 2.982234923000001, 17: 68.41796866, 51: 18.942341057, 52: 10.447653775000001, 54: 46.060306514, 55: 18.510838233000005, 86: 10.057117963000003, 89: 12.081152316, 90: 39.486689834, 91: 4.356907379999999}",68.41796866,27.018234809875
14956,<built-in function id>,"[('86', '17')]","['17', '32', '33', '34', '36', '51', '52', '54', '55', '56', '57', '58', '73', '74', '86', '89', '90', '91', '92', '109', '110']",14956,96.70108237800005,2.2617340087890625,"[17, 32, 33, 34, 36, 51, 52, 54, 56, 57, 58, 73, 74, 86, 89, 90, 91, 92]",18,"[(124, 17), (125, 17), (126, 17), (21, 32), (70, 32), (123, 32), (10, 33), (35, 33), (85, 33), (122, 33), (19, 34), (68, 34), (129, 34), (37, 36), (79, 36), (80, 36), (18, 51), (20, 51), (49, 51), (96, 51), (116, 51), (76, 52), (127, 52), (78, 54), (93, 54), (111, 54), (117, 54), (66, 56), (72, 56), (120, 56), (112, 57), (118, 58), (119, 58), (121, 58), (46, 73), (88, 73), (95, 73), (104, 73), (135, 73), (47, 74), (69, 74), (77, 74), (29, 86), (48, 86), (53, 86), (94, 86), (50, 89), (105, 89), (131, 89), (71, 90), (108, 91), (97, 92), (106, 92)]",162411,"{17: 20.534281356000005, 32: 32.460091551, 33: 32.101793273, 34: 4.851690519, 36: 31.058245909, 51: 27.613104478000004, 52: 7.386766496, 54: 33.24732393699999, 56: 24.647638537000006, 57: 11.719200090999994, 58: 20.892695245000002, 73: 27.017185025, 74: 30.832428698000005, 86: 23.586050688, 89: 15.116190616999997, 90: 2.982234923000001, 91: 10.211696724999996, 92: 11.330737959}",33.24732393699999,20.42163089038889
14956,<built-in function id>,"[('86', '17')]","['17', '32', '33', '34', '36', '51', '52', '54', '55', '56', '57', '58', '73', '74', '86', '89', '90', '91', '92', '109', '110']",14956,96.70108237800005,2.6900386810302734,"[17, 32, 33, 34, 36, 51, 52, 54, 56, 57, 58, 73, 74, 86, 89, 90, 91, 92]",18,"[(124, 17), (125, 17), (126, 17), (21, 32), (70, 32), (123, 32), (10, 33), (35, 33), (85, 33), (122, 33), (19, 34), (68, 34), (129, 34), (37, 36), (79, 36), (80, 36), (18, 51), (20, 51), (49, 51), (96, 51), (116, 51), (76, 52), (127, 52), (78, 54), (93, 54), (111, 54), (117, 54), (66, 56), (72, 56), (120, 56), (112, 57), (118, 58), (119, 58), (121, 58), (46, 73), (88, 73), (95, 73), (104, 73), (135, 73), (47, 74), (69, 74), (77, 74), (29, 86), (48, 86), (53, 86), (94, 86), (50, 89), (105, 89), (131, 89), (71, 90), (108, 91), (97, 92), (106, 92)]",162411,"{17: 20.534281356000005, 32: 32.460091551, 33: 32.101793273, 34: 4.851690519, 36: 31.058245909, 51: 27.613104478000004, 52: 7.386766496, 54: 33.24732393699999, 56: 24.647638537000006, 57: 11.719200090999994, 58: 20.892695245000002, 73: 27.017185025, 74: 30.832428698000005, 86: 23.586050688, 89: 15.116190616999997, 90: 2.982234923000001, 91: 10.211696724999996, 92: 11.330737959}",33.24732393699999,20.42163089038889
16938,<built-in function id>,"[('10', '121'), ('86', '96')]","['121', '34', '35', '36', '56', '73', '10', '74', '51', '116', '21', '52', '55', '53', '54', '58', '125', '57', '96', '110', '86', '91', '92', '93']",16938,101.92606775500006,2.9341697692871094,"[121, 34, 35, 36, 56, 73, 74, 51, 116, 21, 52, 55, 54, 58, 125, 57, 96, 110, 86, 91, 92, 93]",22,"[(49, 121), (120, 121), (68, 34), (89, 34), (118, 34), (124, 34), (131, 34), (79, 35), (94, 35), (66, 36), (17, 56), (29, 56), (33, 56), (77, 56), (119, 56), (122, 56), (76, 73), (80, 74), (108, 74), (19, 51), (20, 51), (71, 51), (97, 51), (18, 116), (48, 21), (127, 52), (123, 55), (37, 54), (105, 54), (46, 58), (47, 58), (78, 58), (50, 125), (69, 125), (70, 125), (117, 125), (126, 125), (129, 125), (135, 125), (72, 57), (90, 96), (95, 110), (106, 110), (111, 86), (112, 91), (32, 92), (104, 92), (109, 92), (85, 93), (88, 93)]",145861,"{121: 25.980104196000006, 34: 47.707463514, 35: 16.526273720000006, 36: 6.59392216, 56: 52.77504595300001, 73: 2.2743637730000006, 74: 24.300698209999993, 51: 9.405510138999999, 116: 1.23222014, 21: 1.540275179, 52: 5.112402722999999, 55: 11.031620876999998, 54: 10.251022902, 58: 26.530846080999996, 125: 31.231548366, 57: 1.428851016, 96: 1.3239812149999997, 110: 23.447552222, 86: 4.356907379999999, 91: 11.719200090999994, 92: 41.75948161299999, 93: 3.880182575000001}",52.77504595300001,16.382248820227275
17491,<built-in function id>,"[('17', '86')]","['17', '32', '33', '34', '36', '51', '52', '54', '55', '56', '57', '58', '72', '73', '74', '77', '78', '79', '86', '89', '91', '92', '109', '110']",17491,128.3565206180001,2.681333541870117,"[17, 32, 33, 34, 36, 51, 52, 54, 55, 56, 57, 58, 73, 74, 77, 78, 79, 86, 89, 109, 110]",21,"[(49, 17), (122, 17), (120, 32), (125, 32), (131, 32), (97, 33), (53, 34), (10, 36), (21, 36), (35, 36), (80, 36), (116, 36), (121, 36), (123, 36), (76, 51), (69, 52), (88, 52), (90, 54), (112, 54), (19, 55), (20, 55), (70, 55), (18, 56), (118, 56), (124, 56), (48, 57), (66, 57), (117, 58), (127, 58), (85, 73), (37, 74), (108, 74), (46, 77), (47, 77), (95, 77), (50, 78), (119, 78), (126, 78), (129, 78), (135, 78), (71, 79), (96, 86), (104, 89), (105, 89), (111, 89), (29, 109), (106, 109), (68, 110), (93, 110), (94, 110)]",146003,"{17: 15.470459019, 32: 26.364647980000004, 33: 1.4091879279999995, 34: 11.995211906999998, 36: 77.20834636599999, 51: 2.2743637730000006, 52: 5.147024272000001, 54: 13.043181305999994, 55: 10.500668870999998, 56: 29.779874489, 57: 8.134197339, 58: 10.283794704999998, 73: 1.5468295400000003, 74: 19.164955852, 77: 17.471728402999997, 78: 23.829243213999998, 79: 2.982234923000001, 86: 4.500258832999999, 89: 7.122848348, 109: 11.46182521, 110: 11.231811139000003}",77.20834636599999,14.805842543666667
17491,<built-in function id>,"[('17', '86')]","['17', '32', '33', '34', '36', '51', '52', '54', '55', '56', '57', '58', '72', '73', '74', '77', '78', '79', '86', '89', '91', '92', '109', '110']",17491,128.3565206180001,2.9281368255615234,"[17, 32, 33, 34, 36, 51, 52, 54, 55, 56, 57, 58, 73, 74, 77, 78, 79, 86, 89, 109, 110]",21,"[(49, 17), (122, 17), (120, 32), (125, 32), (131, 32), (97, 33), (53, 34), (10, 36), (21, 36), (35, 36), (80, 36), (116, 36), (121, 36), (123, 36), (76, 51), (69, 52), (88, 52), (90, 54), (112, 54), (19, 55), (20, 55), (70, 55), (18, 56), (118, 56), (124, 56), (48, 57), (66, 57), (117, 58), (127, 58), (85, 73), (37, 74), (108, 74), (46, 77), (47, 77), (95, 77), (50, 78), (119, 78), (126, 78), (129, 78), (135, 78), (71, 79), (96, 86), (104, 89), (105, 89), (111, 89), (29, 109), (106, 109), (68, 110), (93, 110), (94, 110)]",146003,"{17: 15.470459019, 32: 26.364647980000004, 33: 1.4091879279999995, 34: 11.995211906999998, 36: 77.20834636599999, 51: 2.2743637730000006, 52: 5.147024272000001, 54: 13.043181305999994, 55: 10.500668870999998, 56: 29.779874489, 57: 8.134197339, 58: 10.283794704999998, 73: 1.5468295400000003, 74: 19.164955852, 77: 17.471728402999997, 78: 23.829243213999998, 79: 2.982234923000001, 86: 4.500258832999999, 89: 7.122848348, 109: 11.46182521, 110: 11.231811139000003}",77.20834636599999,14.805842543666667
19962,<built-in function id>,"[('10', '86')]","['10', '21', '32', '33', '34', '35', '36', '51', '52', '54', '55', '56', '57', '58', '72', '73', '74', '77', '78', '86', '89', '91', '92', '109', '110', '112', '116']",19962,160.7864721900002,1.0687103271484375,"[21, 32, 33, 34, 35, 36, 51, 52, 54, 56, 57, 72, 73, 74, 77, 78, 86, 92, 109]",19,"[(18, 21), (123, 21), (80, 32), (88, 32), (118, 32), (66, 33), (120, 34), (126, 34), (127, 34), (20, 35), (29, 35), (49, 35), (131, 35), (68, 36), (97, 36), (119, 36), (121, 36), (124, 36), (53, 51), (96, 51), (70, 52), (95, 54), (17, 56), (50, 56), (19, 57), (85, 57), (46, 72), (71, 72), (47, 73), (48, 73), (93, 73), (117, 73), (122, 73), (111, 74), (125, 74), (129, 74), (94, 77), (135, 77), (37, 78), (76, 78), (90, 78), (105, 86), (104, 92), (108, 92), (69, 109), (79, 109), (106, 109)]",138164,"{21: 12.263841016999997, 32: 29.108987950999996, 33: 6.59392216, 34: 23.526609041000004, 35: 20.707394622, 36: 27.063888670000004, 51: 16.49547074, 52: 5.4865815829999995, 54: 13.526002190999998, 56: 11.110617967999996, 57: 3.604899358, 72: 4.869891317000001, 73: 16.018861869000002, 74: 8.446829552, 77: 16.312284635000005, 78: 12.551604115000002, 86: 1.2977637750000004, 92: 11.679873917999997, 109: 20.751206565000004}",29.108987950999996,13.758764791947367
19962,<built-in function id>,"[('10', '86')]","['10', '21', '32', '33', '34', '35', '36', '51', '52', '54', '55', '56', '57', '58', '72', '73', '74', '77', '78', '86', '89', '91', '92', '109', '110', '112', '116']",19962,160.7864721900002,2.3126678466796875,"[21, 32, 33, 34, 35, 36, 51, 52, 54, 56, 57, 72, 73, 74, 77, 78, 86, 92, 109]",19,"[(18, 21), (123, 21), (80, 32), (88, 32), (118, 32), (66, 33), (120, 34), (126, 34), (127, 34), (20, 35), (29, 35), (49, 35), (131, 35), (68, 36), (97, 36), (119, 36), (121, 36), (124, 36), (53, 51), (96, 51), (70, 52), (95, 54), (17, 56), (50, 56), (19, 57), (85, 57), (46, 72), (71, 72), (47, 73), (48, 73), (93, 73), (117, 73), (122, 73), (111, 74), (125, 74), (129, 74), (94, 77), (135, 77), (37, 78), (76, 78), (90, 78), (105, 86), (104, 92), (108, 92), (69, 109), (79, 109), (106, 109)]",138164,"{21: 12.263841016999997, 32: 29.108987950999996, 33: 6.59392216, 34: 23.526609041000004, 35: 20.707394622, 36: 27.063888670000004, 51: 16.49547074, 52: 5.4865815829999995, 54: 13.526002190999998, 56: 11.110617967999996, 57: 3.604899358, 72: 4.869891317000001, 73: 16.018861869000002, 74: 8.446829552, 77: 16.312284635000005, 78: 12.551604115000002, 86: 1.2977637750000004, 92: 11.679873917999997, 109: 20.751206565000004}",29.108987950999996,13.758764791947367
21883,<built-in function id>,"[('86', '96'), ('121', '17')]","['96', '109', '110', '112', '86', '89', '91', '92', '93', '94', '17', '34', '35', '36', '37', '51', '52', '53', '54', '55', '56', '57', '58', '73', '74', '77', '78', '79', '80', '121', '125']",21883,170.45063044900036,2.0633411407470703,"[96, 109, 110, 112, 86, 91, 92, 93, 94, 17, 34, 35, 36, 37, 51, 52, 53, 54, 55, 56, 57, 58, 73, 74, 77, 79, 80, 121, 125]",29,"[(47, 96), (88, 109), (104, 109), (111, 110), (108, 112), (32, 86), (49, 86), (85, 91), (29, 92), (95, 93), (71, 94), (20, 17), (21, 17), (76, 17), (126, 34), (129, 35), (33, 36), (66, 37), (72, 51), (106, 52), (10, 53), (69, 53), (118, 53), (122, 53), (19, 54), (90, 55), (131, 55), (119, 56), (127, 56), (117, 57), (120, 57), (124, 58), (105, 73), (46, 74), (48, 74), (68, 74), (97, 74), (135, 77), (50, 79), (70, 80), (18, 121), (123, 121), (116, 125)]",123768,"{96: 2.0580698179999994, 109: 3.8015302280000016, 110: 4.356907379999999, 112: 10.211696724999996, 86: 19.716614952, 91: 1.5468295400000003, 92: 1.540275179, 93: 13.526002190999998, 94: 2.982234923000001, 17: 21.172270334, 34: 1.7893409570000003, 35: 1.206002691, 36: 8.941469033, 37: 6.59392216, 51: 1.428851016, 52: 9.921550031, 53: 26.033165154000002, 54: 2.0580698179999994, 55: 8.179844353, 56: 11.181742372999999, 57: 21.796257343000004, 58: 15.861020918000003, 73: 1.2977637750000004, 74: 6.424737511, 77: 7.8019962120000015, 79: 6.962563703999997, 80: 5.4865815829999995, 121: 12.263841016999997, 125: 9.569369200000004}",26.033165154000002,8.472776555827586
